"Source:","/home/master/KiCad_Project/WeatherPi/Esquema/Esquema.kicad_sch"
"Date:","vie 13 may 2022 10:10:10"
"Tool:","Eeschema 6.0.5-a6ca702e91~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","15"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","BT1","Pila 18650","Device:Battery_Cell","","~"
"","","D1","1N4004","Diode:1N4004","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"","","J1","JST-XH 2.54mm","Connector:Conn_01x02_Female","","~"
"","","J2","JST-XH 2.54mm","Connector:Conn_01x04_Female","","~"
"","","J3","JST-XH 2.54mm","Connector:Conn_01x04_Female","","~"
"","","J4","JST-XH 2.54mm","Connector:Conn_01x02_Male","","~"
"","","J5","JST-XH 2.54mm","Connector:Conn_01x04_Male","","~"
"","","J6","JST-XH 2.54mm","Connector:Conn_01x04_Male","","~"
"","","R1","100K","Device:R","","~"
"","","SC1","Solar_Cell_6V","Device:Solar_Cell","","~"
"","","U1","TP4056_Placa","Esquema:TP4056","",""
"","","U2","WeMos_D1_mini","MCU_Module:WeMos_D1_mini","Module:WEMOS_D1_mini_light","https://wiki.wemos.cc/products:d1:d1_mini#documentation"
"","","U3","MT3608_Placa","Esquema:MT3608_Placa","",""
"","","U4","BMP280","Sensor_Pressure:BMP280","Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf"
"","","U5","HDC1080","Sensor_Humidity:HDC1080","Package_SON:Texas_PWSON-N6","http://www.ti.com/lit/ds/symlink/hdc1080.pdf"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","BT1","Pila 18650","Device:Battery_Cell","","~"
"2","1","D1","1N4004","Diode:1N4004","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"3","1","J1","JST-XH 2.54mm","Connector:Conn_01x02_Female","","~"
"4","2","J2, J3","JST-XH 2.54mm","Connector:Conn_01x04_Female","","~"
"5","1","J4","JST-XH 2.54mm","Connector:Conn_01x02_Male","","~"
"6","2","J5, J6","JST-XH 2.54mm","Connector:Conn_01x04_Male","","~"
"7","1","R1","100K","Device:R","","~"
"8","1","SC1","Solar_Cell_6V","Device:Solar_Cell","","~"
"9","1","U1","TP4056_Placa","Esquema:TP4056","",""
"10","1","U2","WeMos_D1_mini","MCU_Module:WeMos_D1_mini","Module:WEMOS_D1_mini_light","https://wiki.wemos.cc/products:d1:d1_mini#documentation"
"11","1","U3","MT3608_Placa","Esquema:MT3608_Placa","",""
"12","1","U4","BMP280","Sensor_Pressure:BMP280","Package_LGA:Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering","https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BMP280-DS001.pdf"
"13","1","U5","HDC1080","Sensor_Humidity:HDC1080","Package_SON:Texas_PWSON-N6","http://www.ti.com/lit/ds/symlink/hdc1080.pdf"
